# HSK 1
你好|ni3 hao3|Hello
你准备好了吗|ni3 zhun3 bei4 hao3 le5 ma5|Are you ready
我昨天很忙|wo3 zuo2 tian1 hen3 mang2|I was very busy yesterday
这本书很有意思|zhe4 ben3 shu1 hen3 you3 yi4 si5|This book is very interesting
我们下午去公园|wo3 men5 xia4 wu3 qu4 gong1 yuan2|We will go to the park in the afternoon
你可以说慢一点吗|ni3 ke3 yi3 shuo1 man4 yi1 dian3 ma5|Can you speak a little slower
我正在做作业|wo3 zheng4 zai4 zuo4 zuo4 ye4|I am doing homework
他喜欢吃中国菜|ta1 xi3 huan1 chi1 zhong1 guo2 cai4|He likes to eat Chinese food
你什么时候来|ni3 shen2 me5 shi2 hou4 lai2|When will you come
我想学做饭|wo3 xiang3 xue2 zuo4 fan4|I want to learn to cook
请问洗手间在哪里|qing3 wen4 xi3 shou3 jian1 zai4 na3 li3|Excuse me, where is the restroom
她的中文说得很好|ta1 de5 zhong1 wen2 shuo1 de5 hen3 hao3|She speaks Chinese very well
我每天早上七点起床|wo3 mei3 tian1 zao3 shang4 qi1 dian3 qi3 chuang2|I get up at seven every morning
你有没有兄弟姐妹|ni3 you3 mei2 you3 xiong1 di4 jie3 mei4|Do you have siblings
今天星期几|jin1 tian1 xing1 qi1 ji3|What day of the week is it
他们在打篮球|ta1 men5 zai4 da3 lan2 qiu2|They are playing basketball
我要买一杯咖啡|wo3 yao4 mai3 yi4 bei1 ka1 fei1|I want to buy a cup of coffee
# HSK 3
我想去中国旅游|wo3 xiang3 qu4 zhong1 guo2 lv3 you2|I want to travel to China
你能告诉我怎么去吗|ni3 neng2 gao4 su4 wo3 zen3 me5 qu4 ma5|Can you tell me how to get there
他对中国文化很感兴趣|ta1 dui4 zhong1 guo2 wen2 hua4 hen3 gan3 xing4 qu4|He is very interested in Chinese culture
请把那本书给我|qing3 ba3 na4 ben3 shu1 gei3 wo3|Please give me that book
我们应该保护环境|wo3 men5 ying1 gai1 bao3 hu4 huan2 jing4|We should protect the environment
她决定去国外留学|ta1 jue2 ding4 qu4 guo2 wai4 liu2 xue2|She decided to study abroad
这件事情越来越复杂|zhe4 jian4 shi4 qing2 yue4 lai2 yue4 fu4 za2|This matter is getting more and more complicated
你最近过得怎么样|ni3 zui4 jin4 guo4 de5 zen3 me5 yang4|How have you been recently
我觉得这个主意不错|wo3 jue2 de5 zhe4 ge5 zhu3 yi4 bu2 cuo4|I think this idea is not bad
他虽然很累但是很开心|ta1 sui1 ran2 hen3 lei4 dan4 shi4 hen3 kai1 xin1|Although he is tired, he is very happy
我们已经等了很长时间|wo3 men5 yi3 jing1 deng3 le5 hen3 chang2 shi2 jian1|We have been waiting for a long time
你知道附近有没有银行|ni3 zhi1 dao4 fu4 jin4 you3 mei2 you3 yin2 hang2|Do you know if there is a bank nearby
他每个周末都去爬山|ta1 mei3 ge4 zhou1 mo4 dou1 qu4 pa2 shan1|He goes hiking every weekend
我希望你能来参加聚会|wo3 xi1 wang4 ni3 neng2 lai2 can1 jia1 ju4 hui4|I hope you can come to the party
请你再说一遍好吗|qing3 ni3 zai4 shuo1 yi2 bian4 hao3 ma5|Could you please say it again
学习中文需要很多练习|xue2 xi2 zhong1 wen2 xu1 yao4 hen3 duo1 lian4 xi2|Learning Chinese requires a lot of practice
他从来没有去过上海|ta1 cong2 lai2 mei2 you3 qu4 guo4 shang4 hai3|He has never been to Shanghai
我们先吃饭再去看电影|wo3 men5 xian1 chi1 fan4 zai4 qu4 kan4 dian4 ying3|Let's eat first and then go see a movie
你应该多休息注意身体|ni3 ying1 gai1 duo1 xiu1 xi1 zhu4 yi4 shen1 ti3|You should rest more and take care of your health
这个地方的风景非常美|zhe4 ge5 di4 fang1 de5 feng1 jing3 fei1 chang2 mei3|The scenery of this place is very beautiful
我对这个问题很感兴趣|wo3 dui4 zhe4 ge5 wen4 ti2 hen3 gan3 xing4 qu4|I am very interested in this question
他们正在讨论明天的计划|ta1 men5 zheng4 zai4 tao3 lun4 ming2 tian1 de5 ji4 hua4|They are discussing tomorrow's plan
你能不能帮我翻译一下|ni3 neng2 bu4 neng2 bang1 wo3 fan1 yi4 yi2 xia4|Can you help me translate this
我妈妈做的菜特别好吃|wo3 ma1 ma1 zuo4 de5 cai4 te4 bie2 hao3 chi1|The food my mom makes is especially delicious
虽然很难但是我不会放弃|sui1 ran2 hen3 nan2 dan4 shi4 wo3 bu2 hui4 fang4 qi4|Although it is difficult, I will not give up
他打算明年去北京工作|ta1 da3 suan4 ming2 nian2 qu4 bei3 jing1 gong1 zuo4|He plans to go to Beijing to work next year
我们需要更多的时间准备|wo3 men5 xu1 yao4 geng4 duo1 de5 shi2 jian1 zhun3 bei4|We need more time to prepare
这个城市的交通很方便|zhe4 ge5 cheng2 shi4 de5 jiao1 tong1 hen3 fang1 bian4|The transportation in this city is very convenient
你有什么好的建议吗|ni3 you3 shen2 me5 hao3 de5 jian4 yi4 ma5|Do you have any good suggestions
我相信你一定能做到|wo3 xiang1 xin4 ni3 yi2 ding4 neng2 zuo4 dao4|I believe you can definitely do it
